count,bits,backend,boundary,correctness,warmup,reps,median_ms,iqr_ms,speedup_vs_c
1024,4,cpu,comparator,passed,10,30,0.022400,0.000175,1.0000
1024,4,cuda,resident,passed,10,30,0.267400,0.037200,0.0838
1024,4,cuda,host-origin,passed,10,30,0.413350,0.058100,0.0542
1024,8,cpu,comparator,passed,10,30,0.021400,0.000100,1.0000
1024,8,cuda,resident,passed,10,30,0.134450,0.047075,0.1592
1024,8,cuda,host-origin,passed,10,30,0.204700,0.013725,0.1045
16384,4,cpu,comparator,passed,10,30,0.368150,0.002950,1.0000
16384,4,cuda,resident,passed,10,30,0.392950,0.071900,0.9369
16384,4,cuda,host-origin,passed,10,30,0.215500,0.042925,1.7084
16384,8,cpu,comparator,passed,10,30,0.391400,0.004325,1.0000
16384,8,cuda,resident,passed,10,30,0.358450,0.035075,1.0919
16384,8,cuda,host-origin,passed,10,30,0.495650,0.036025,0.7897
262144,4,cpu,comparator,passed,10,30,5.982000,0.144625,1.0000
262144,4,cuda,resident,passed,10,30,0.176550,0.049850,33.8828
262144,4,cuda,host-origin,passed,10,30,0.471000,0.034475,12.7006
262144,8,cpu,comparator,passed,10,30,6.123250,0.241750,1.0000
262144,8,cuda,resident,passed,10,30,0.176950,0.023825,34.6044
262144,8,cuda,host-origin,passed,10,30,0.574750,0.038800,10.6538
4194304,4,cpu,comparator,passed,10,30,95.548800,0.919950,1.0000
4194304,4,cuda,resident,passed,10,30,0.391350,0.032850,244.1518
4194304,4,cuda,host-origin,passed,10,30,3.306950,0.051350,28.8933
4194304,8,cpu,comparator,passed,10,30,95.746750,1.197625,1.0000
4194304,8,cuda,resident,passed,10,30,0.401200,0.016850,238.6509
4194304,8,cuda,host-origin,passed,10,30,3.618300,0.035125,26.4618
