count,bits,backend,boundary,correctness,warmup,reps,trials,median_ms,iqr_ms,trial_median_min_ms,trial_median_max_ms,spread_ratio,speedup_vs_c,speedup_low,speedup_high,verdict,boundary_inversion,unstable,claim_supported
1024,4,cpu,comparator,passed,10,30,6,0.022400,0.000300,0.022300,0.028000,1.2556,1.0000,1.0000,1.0000,comparator,false,true,
1024,4,cuda,resident,passed,10,30,6,0.126450,0.036850,0.117400,0.146000,1.2436,0.1771,0.1527,0.2385,slower,false,false,false
1024,4,cuda,host-origin,passed,10,30,6,0.200800,0.250050,0.177600,0.536300,3.0197,0.1116,0.0416,0.1577,slower,false,true,false
1024,8,cpu,comparator,passed,10,30,6,0.021100,0.000100,0.021100,0.021250,1.0071,1.0000,1.0000,1.0000,comparator,false,false,
1024,8,cuda,resident,passed,10,30,6,0.118400,0.039125,0.112650,0.128000,1.1363,0.1782,0.1648,0.1886,slower,false,false,true
1024,8,cuda,host-origin,passed,10,30,6,0.235700,0.323575,0.171150,0.756700,4.4213,0.0895,0.0279,0.1242,slower,false,true,false
16384,4,cpu,comparator,passed,10,30,6,0.368350,0.025050,0.366300,0.390500,1.0661,1.0000,1.0000,1.0000,comparator,false,false,
16384,4,cuda,resident,passed,10,30,6,0.160650,0.062350,0.141300,0.401150,2.8390,2.2929,0.9131,2.7636,inconclusive,false,true,false
16384,4,cuda,host-origin,passed,10,30,6,0.277650,0.273000,0.199150,0.489700,2.4590,1.3267,0.7480,1.9608,inconclusive,false,true,false
16384,8,cpu,comparator,passed,10,30,6,0.391450,0.006100,0.390350,0.404000,1.0350,1.0000,1.0000,1.0000,comparator,false,false,
16384,8,cuda,resident,passed,10,30,6,0.156900,0.059225,0.137750,0.353250,2.5644,2.4949,1.1050,2.9328,faster,false,true,false
16384,8,cuda,host-origin,passed,10,30,6,0.275150,0.269725,0.189800,0.487350,2.5677,1.4227,0.8010,2.1286,inconclusive,false,true,false
262144,4,cpu,comparator,passed,10,30,6,6.410300,0.774250,6.293550,6.805350,1.0813,1.0000,1.0000,1.0000,comparator,false,false,
262144,4,cuda,resident,passed,10,30,6,0.224200,0.234575,0.178450,0.499850,2.8011,28.5919,12.5909,38.1359,faster,false,true,false
262144,4,cuda,host-origin,passed,10,30,6,0.527700,0.063450,0.491050,0.570850,1.1625,12.1476,11.0249,13.8588,faster,false,false,true
262144,8,cpu,comparator,passed,10,30,6,6.467750,0.667950,6.321800,6.769300,1.0708,1.0000,1.0000,1.0000,comparator,false,false,
262144,8,cuda,resident,passed,10,30,6,0.216000,0.293500,0.174650,0.745000,4.2657,29.9433,8.4856,38.7592,faster,false,true,false
262144,8,cuda,host-origin,passed,10,30,6,0.559900,0.083825,0.525950,0.637800,1.2127,11.5516,9.9119,12.8706,faster,false,false,true
4194304,4,cpu,comparator,passed,10,30,6,98.392100,5.987000,97.063300,103.875400,1.0702,1.0000,1.0000,1.0000,comparator,false,false,
4194304,4,cuda,resident,passed,10,30,6,0.444550,0.054900,0.391150,0.472150,1.2071,221.3297,205.5773,265.5641,faster,false,false,true
4194304,4,cuda,host-origin,passed,10,30,6,3.398750,0.150650,3.331400,3.458600,1.0382,28.9495,28.0643,31.1807,faster,false,false,true
4194304,8,cpu,comparator,passed,10,30,6,97.266250,1.824450,96.837550,97.775050,1.0097,1.0000,1.0000,1.0000,comparator,false,false,
4194304,8,cuda,resident,passed,10,30,6,0.461100,0.031475,0.431900,0.479150,1.1094,210.9439,202.1028,226.3835,faster,false,false,true
4194304,8,cuda,host-origin,passed,10,30,6,3.725600,0.166300,3.648450,3.814550,1.0455,26.1075,25.3864,26.7991,faster,false,false,true
