count,bits,backend,boundary,correctness,warmup,reps,trials,median_ms,iqr_ms,trial_median_min_ms,trial_median_max_ms,spread_ratio,speedup_vs_c,speedup_low,speedup_high,verdict,boundary_inversion,unstable,claim_supported
1024,4,cpu,comparator,passed,10,30,6,0.022800,0.000200,0.022700,0.023850,1.0507,1.0000,1.0000,1.0000,comparator,false,false,
1024,4,cuda,resident,passed,10,30,6,0.262450,0.427000,0.125800,0.899100,7.1471,0.0869,0.0252,0.1896,slower,false,true,false
1024,4,cuda,host-origin,passed,10,30,6,0.546450,1.150625,0.241350,1.062200,4.4011,0.0417,0.0214,0.0988,slower,false,true,false
1024,8,cpu,comparator,passed,10,30,6,0.021600,0.000200,0.021600,0.021650,1.0023,1.0000,1.0000,1.0000,comparator,false,false,
1024,8,cuda,resident,passed,10,30,6,0.143550,0.179900,0.107700,0.712700,6.6175,0.1505,0.0303,0.2010,slower,false,true,false
1024,8,cuda,host-origin,passed,10,30,6,0.906650,1.445150,0.543050,1.189650,2.1907,0.0238,0.0182,0.0399,slower,false,true,false
2048,4,cpu,comparator,passed,10,30,6,0.046000,0.011825,0.045700,0.057700,1.2626,1.0000,1.0000,1.0000,comparator,false,true,
2048,4,cuda,resident,passed,10,30,6,0.296450,0.411250,0.121600,0.660500,5.4317,0.1552,0.0692,0.4745,slower,false,true,false
2048,4,cuda,host-origin,passed,10,30,6,0.532700,0.745425,0.270650,1.547350,5.7172,0.0864,0.0295,0.2132,slower,false,true,false
2048,8,cpu,comparator,passed,10,30,6,0.043800,0.001450,0.043550,0.072900,1.6739,1.0000,1.0000,1.0000,comparator,false,true,
2048,8,cuda,resident,passed,10,30,6,0.298900,0.545250,0.124350,0.924350,7.4335,0.1465,0.0471,0.5862,slower,false,true,false
2048,8,cuda,host-origin,passed,10,30,6,1.030200,1.541150,0.691300,1.432250,2.0718,0.0425,0.0304,0.1055,slower,false,true,false
4096,4,cpu,comparator,passed,10,30,6,0.091400,0.001525,0.091100,0.119700,1.3139,1.0000,1.0000,1.0000,comparator,false,true,
4096,4,cuda,resident,passed,10,30,6,0.191900,0.197100,0.125850,0.366550,2.9126,0.4763,0.2485,0.9511,slower,false,true,false
4096,4,cuda,host-origin,passed,10,30,6,0.262400,0.119000,0.222050,0.548800,2.4715,0.3483,0.1660,0.5391,slower,false,true,false
4096,8,cpu,comparator,passed,10,30,6,0.092200,0.003175,0.091800,0.097150,1.0583,1.0000,1.0000,1.0000,comparator,false,false,
4096,8,cuda,resident,passed,10,30,6,0.304000,0.239525,0.126150,0.363700,2.8831,0.3033,0.2524,0.7701,slower,false,true,false
4096,8,cuda,host-origin,passed,10,30,6,0.492550,0.341025,0.261750,0.609700,2.3293,0.1872,0.1506,0.3712,slower,false,true,false
8192,4,cpu,comparator,passed,10,30,6,0.184800,0.001125,0.184550,0.185900,1.0073,1.0000,1.0000,1.0000,comparator,false,false,
8192,4,cuda,resident,passed,10,30,6,0.309850,0.429700,0.169550,0.843900,4.9773,0.5964,0.2187,1.0964,inconclusive,false,true,false
8192,4,cuda,host-origin,passed,10,30,6,0.561150,0.798600,0.254550,1.365200,5.3632,0.3293,0.1352,0.7303,slower,false,true,false
8192,8,cpu,comparator,passed,10,30,6,0.193100,0.001600,0.192900,0.198050,1.0267,1.0000,1.0000,1.0000,comparator,false,false,
8192,8,cuda,resident,passed,10,30,6,0.163400,0.308950,0.138000,0.873900,6.3326,1.1818,0.2207,1.4351,inconclusive,false,true,false
8192,8,cuda,host-origin,passed,10,30,6,0.611750,1.106050,0.248450,1.438400,5.7895,0.3157,0.1341,0.7971,slower,false,true,false
16384,4,cpu,comparator,passed,10,30,6,0.373000,0.001400,0.372400,0.373850,1.0039,1.0000,1.0000,1.0000,comparator,false,false,
16384,4,cuda,resident,passed,10,30,6,0.226300,0.515825,0.144850,0.923450,6.3752,1.6483,0.4033,2.5809,inconclusive,false,true,false
16384,4,cuda,host-origin,passed,10,30,6,0.686500,1.040450,0.330150,1.084300,3.2843,0.5433,0.3434,1.1324,inconclusive,false,true,false
16384,8,cpu,comparator,passed,10,30,6,0.400600,0.017000,0.399600,0.442950,1.1085,1.0000,1.0000,1.0000,comparator,false,false,
