count,bits,backend,boundary,correctness,warmup,reps,trials,median_ms,iqr_ms,trial_median_min_ms,trial_median_max_ms,spread_ratio,speedup_vs_c,speedup_low,speedup_high,verdict,boundary_inversion,unstable,claim_supported
1024,4,cpu,comparator,passed,43860,30,6,0.022500,0.000200,0.022400,0.022500,1.0045,1.0000,1.0000,1.0000,comparator,false,false,
1024,4,cuda,resident,passed,8262,30,6,0.126150,0.051200,0.100650,0.256450,2.5479,0.1784,0.0873,0.2235,slower,false,true,false
1024,4,cuda,host-origin,passed,1978,30,6,0.232600,0.277775,0.197850,0.498000,2.5171,0.0967,0.0450,0.1137,slower,false,true,false
1024,8,cpu,comparator,passed,46297,30,6,0.021400,0.000100,0.021400,0.021500,1.0047,1.0000,1.0000,1.0000,comparator,false,false,
1024,8,cuda,resident,passed,3603,30,6,0.117500,0.028025,0.103400,0.130650,1.2635,0.1821,0.1638,0.2079,slower,false,true,false
1024,8,cuda,host-origin,passed,4761,30,6,0.213950,0.035425,0.205850,0.267900,1.3014,0.1000,0.0799,0.1044,slower,false,true,false
2048,4,cpu,comparator,passed,21740,30,6,0.045500,0.000300,0.045500,0.045600,1.0022,1.0000,1.0000,1.0000,comparator,false,false,
2048,4,cuda,resident,passed,8337,30,6,0.141450,0.048000,0.120200,0.291100,2.4218,0.3217,0.1563,0.3794,slower,false,true,false
2048,4,cuda,host-origin,passed,1928,30,6,0.253100,0.119475,0.237000,0.523850,2.2103,0.1798,0.0869,0.1924,slower,false,true,false
2048,8,cpu,comparator,passed,22884,30,6,0.043400,0.000300,0.043300,0.043500,1.0046,1.0000,1.0000,1.0000,comparator,false,false,
2048,8,cuda,resident,passed,8251,30,6,0.130450,0.041475,0.120750,0.301600,2.4977,0.3327,0.1436,0.3602,slower,false,true,false
2048,8,cuda,host-origin,passed,4600,30,6,0.242050,0.045075,0.214700,0.496450,2.3123,0.1793,0.0872,0.2026,slower,false,true,false
