count,bits,backend,boundary,correctness,warmup,reps,trials,median_ms,iqr_ms,trial_median_min_ms,trial_median_max_ms,spread_ratio,spread_p90_p10,stable,unstable_rev2,speedup_vs_c,speedup_low,speedup_high,speedup_ci_low,speedup_ci_high,verdict,boundary_inversion,direction_supported,magnitude_supported,claim_supported_rev2
1024,4,cpu,comparator,passed,44643,30,24,0.022200,0.000300,0.022000,0.022400,1.0182,1.0159,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
1024,4,cuda,resident,passed,9204,30,24,0.105400,0.025750,0.094950,0.115300,1.2143,1.1357,true,false,0.2106,0.1908,0.2359,0.2030,0.2153,slower,false,true,true,true
1024,4,cuda,resident-graph,passed,46512,30,24,0.020200,0.002100,0.018400,0.020400,1.1087,1.1048,true,false,1.0990,1.0784,1.2174,1.0833,1.1333,faster,false,true,true,true
1024,4,cuda,host-origin,passed,4622,30,24,0.212100,0.042650,0.199350,0.247700,1.2425,1.1962,true,false,0.1047,0.0888,0.1124,0.0959,0.1066,slower,false,true,true,true
1024,8,cpu,comparator,passed,47394,30,24,0.021000,0.000300,0.020900,0.021300,1.0191,1.0184,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
1024,8,cuda,resident,passed,8558,30,24,0.108150,0.026625,0.085150,0.118500,1.3917,1.1596,true,true,0.1942,0.1764,0.2501,0.1888,0.2004,slower,false,true,true,false
1024,8,cuda,resident-graph,passed,51151,30,24,0.019750,0.002100,0.018500,0.020400,1.1027,1.0988,true,false,1.0633,1.0245,1.1514,1.0392,1.1024,faster,false,true,true,true
1024,8,cuda,host-origin,passed,5150,30,24,0.208450,0.030525,0.195500,0.242100,1.2384,1.1596,true,false,0.1007,0.0863,0.1090,0.0988,0.1021,slower,false,true,true,true
2048,4,cpu,comparator,passed,22076,30,24,0.044800,0.000500,0.044600,0.045300,1.0157,1.0142,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
2048,4,cuda,resident,passed,8529,30,24,0.118050,0.027125,0.110850,0.124500,1.1231,1.0795,true,false,0.3795,0.3582,0.4087,0.3739,0.3852,slower,false,true,true,true
2048,4,cuda,resident-graph,passed,48781,30,24,0.020500,0.000100,0.020400,0.020500,1.0049,1.0049,true,false,2.1854,2.1756,2.2206,2.1805,2.1829,faster,false,true,true,true
2048,4,cuda,host-origin,passed,4574,30,24,0.219050,0.033900,0.179400,0.240800,1.3423,1.1477,true,true,0.2045,0.1852,0.2525,0.1933,0.2094,slower,false,true,true,false
2048,8,cpu,comparator,passed,23283,30,24,0.042300,0.000200,0.042200,0.042900,1.0166,1.0024,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
2048,8,cuda,resident,passed,8670,30,24,0.118250,0.025550,0.104950,0.122350,1.1658,1.0850,true,false,0.3577,0.3449,0.4088,0.3530,0.3643,slower,false,true,true,true
2048,8,cuda,resident-graph,passed,48900,30,24,0.020500,0.000100,0.020400,0.020500,1.0049,1.0049,true,false,2.0634,2.0585,2.1029,2.0585,2.0660,faster,false,true,true,true
2048,8,cuda,host-origin,passed,4728,30,24,0.225800,0.034325,0.208550,0.242850,1.1645,1.1551,true,false,0.1873,0.1738,0.2057,0.1787,0.1944,slower,false,true,true,true
4096,4,cpu,comparator,passed,11112,30,24,0.089400,0.000400,0.089250,0.090500,1.0140,1.0021,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
4096,4,cuda,resident,passed,8544,30,24,0.123200,0.024700,0.114600,0.127750,1.1147,1.0784,true,false,0.7256,0.6986,0.7897,0.7234,0.7434,slower,false,true,true,true
4096,4,cuda,resident-graph,passed,49020,30,24,0.020500,0.000100,0.020400,0.022500,1.1029,1.0049,true,false,4.3610,3.9667,4.4363,4.3561,4.3639,faster,false,true,true,true
4096,4,cuda,host-origin,passed,4650,30,24,0.233650,0.039250,0.204800,0.249000,1.2158,1.1601,true,false,0.3826,0.3584,0.4419,0.3720,0.3922,slower,false,true,true,true
4096,8,cpu,comparator,passed,11112,30,24,0.090200,0.001300,0.089550,0.110900,1.2384,1.0147,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
4096,8,cuda,resident,passed,7085,30,24,0.124200,0.027150,0.116550,0.129850,1.1141,1.0729,true,false,0.7262,0.6896,0.9515,0.7165,0.7487,slower,false,true,true,true
4096,8,cuda,resident-graph,passed,49020,30,24,0.020500,0.000100,0.020450,0.024450,1.1956,1.0017,true,false,4.4000,3.6626,5.4230,4.3732,4.4293,faster,false,true,true,true
4096,8,cuda,host-origin,passed,4579,30,24,0.229850,0.036725,0.208250,0.250550,1.2031,1.1296,true,false,0.3924,0.3574,0.5325,0.3811,0.4099,slower,false,true,true,true
8192,4,cpu,comparator,passed,5509,30,24,0.181600,0.001000,0.181350,0.183850,1.0138,1.0131,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
8192,4,cuda,resident,passed,7525,30,24,0.133600,0.032125,0.122300,0.144100,1.1783,1.1129,true,false,1.3593,1.2585,1.5033,1.3442,1.3935,faster,false,true,true,true
8192,4,cuda,resident-graph,passed,45663,30,24,0.020500,0.002000,0.020500,0.022500,1.0976,1.0961,true,false,8.8585,8.0600,8.9683,8.7260,8.8537,faster,false,true,true,true
8192,4,cuda,host-origin,passed,4655,30,24,0.218550,0.039225,0.195200,0.243900,1.2495,1.1720,true,false,0.8309,0.7435,0.9419,0.8130,0.8932,slower,false,true,true,true
8192,8,cpu,comparator,passed,5242,30,24,0.190200,0.001925,0.190000,0.192600,1.0137,1.0127,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
8192,8,cuda,resident,passed,7789,30,24,0.129600,0.029750,0.121000,0.141800,1.1719,1.1096,true,false,1.4676,1.3399,1.5917,1.4584,1.4870,faster,false,true,true,true
8192,8,cuda,resident-graph,passed,42554,30,24,0.020500,0.002100,0.020450,0.022450,1.0978,1.0466,true,false,9.2780,8.4633,9.4181,9.2732,9.2780,faster,false,true,true,true
8192,8,cuda,host-origin,passed,4550,30,24,0.221250,0.035475,0.204000,0.256150,1.2556,1.0989,true,true,0.8597,0.7418,0.9441,0.8550,0.8807,slower,false,true,true,false
16384,4,cpu,comparator,passed,2733,30,24,0.366000,0.000800,0.365700,0.366150,1.0012,1.0005,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
16384,4,cuda,resident,passed,7016,30,24,0.137000,0.024975,0.108650,0.147650,1.3590,1.0625,true,true,2.6715,2.4768,3.3700,2.6350,2.7061,faster,false,true,true,false
16384,4,cuda,resident-graph,passed,44445,30,24,0.022500,0.000100,0.022500,0.022500,1.0000,1.0000,true,false,16.2667,16.2533,16.2733,16.2644,16.2711,faster,false,true,true,true
16384,4,cuda,host-origin,passed,4821,30,24,0.219850,0.031125,0.203600,0.238100,1.1694,1.1076,true,false,1.6648,1.5359,1.7984,1.6418,1.7541,faster,false,true,true,true
16384,8,cpu,comparator,passed,2533,30,24,0.394900,0.001900,0.394450,0.399600,1.0131,1.0101,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
16384,8,cuda,resident,passed,7205,30,24,0.139100,0.019825,0.126000,0.142100,1.1278,1.0611,true,false,2.8390,2.7759,3.1714,2.8156,2.8557,faster,false,true,true,true
16384,8,cuda,resident-graph,passed,44445,30,24,0.022500,0.000100,0.022500,0.022500,1.0000,1.0000,true,false,17.5511,17.5311,17.7600,17.5422,17.5489,faster,false,true,true,true
16384,8,cuda,host-origin,passed,4562,30,24,0.225400,0.032925,0.205150,0.279900,1.3644,1.1203,true,true,1.7520,1.4093,1.9478,1.7180,1.8560,faster,false,true,true,false
32768,4,cpu,comparator,passed,1361,30,24,0.735400,0.002525,0.734750,0.744700,1.0135,1.0108,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
32768,4,cuda,resident,passed,7853,30,24,0.141400,0.025350,0.135000,0.160350,1.1878,1.0724,true,false,5.2008,4.5822,5.5163,5.1373,5.2771,faster,false,true,true,true
32768,4,cuda,resident-graph,passed,44248,30,24,0.022850,0.002100,0.022500,0.024500,1.0889,1.0681,true,false,32.1838,29.9898,33.0978,31.2830,32.5265,faster,false,true,true,true
32768,4,cuda,host-origin,passed,3661,30,24,0.269800,0.034700,0.251700,0.287500,1.1422,1.0915,true,false,2.7257,2.5557,2.9587,2.6684,2.7776,faster,false,true,true,true
32768,8,cpu,comparator,passed,1248,30,24,0.802300,0.001800,0.802000,0.811350,1.0117,1.0005,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
32768,8,cuda,resident,passed,6897,30,24,0.141150,0.020725,0.125450,0.147350,1.1746,1.0499,true,false,5.6840,5.4428,6.4675,5.6243,5.7144,faster,false,true,true,true
32768,8,cuda,resident-graph,passed,42373,30,24,0.022600,0.002100,0.022500,0.024500,1.0889,1.0693,true,false,35.5000,32.7347,36.0600,34.8837,35.5393,faster,false,true,true,true
32768,8,cuda,host-origin,passed,3637,30,24,0.272300,0.033250,0.212750,0.286300,1.3457,1.0794,true,true,2.9464,2.8013,3.8136,2.8827,2.9842,faster,false,true,true,false
65536,4,cpu,comparator,passed,681,30,24,1.470800,0.018500,1.469550,1.488950,1.0132,1.0126,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
65536,4,cuda,resident,passed,6344,30,24,0.152000,0.030350,0.142950,0.167900,1.1745,1.1320,true,false,9.6763,8.7525,10.4159,9.3862,9.8678,faster,false,true,true,true
65536,4,cuda,resident-graph,passed,36232,30,24,0.026600,0.000200,0.026600,0.027600,1.0376,1.0038,true,false,55.2932,53.2446,55.9756,55.2632,55.9004,faster,false,true,true,true
65536,4,cuda,host-origin,passed,3226,30,24,0.292200,0.043925,0.241750,0.318400,1.3171,1.1890,true,true,5.0335,4.6154,6.1590,4.7750,5.1395,faster,false,true,true,false
65536,8,cpu,comparator,passed,623,30,24,1.592450,0.018400,1.589300,1.610050,1.0131,1.0122,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
65536,8,cuda,resident,passed,6741,30,24,0.154700,0.028700,0.142950,0.165600,1.1584,1.1057,true,false,10.2938,9.5972,11.2630,10.0380,10.4563,faster,false,true,true,true
65536,8,cuda,resident-graph,passed,36232,30,24,0.026600,0.000100,0.026600,0.027600,1.0376,1.0013,true,false,59.8665,57.5833,60.5282,59.7895,60.4342,faster,false,true,true,true
65536,8,cuda,host-origin,passed,3078,30,24,0.301050,0.042025,0.246500,0.336500,1.3651,1.1818,true,true,5.2897,4.7230,6.5316,5.1349,5.3764,faster,false,true,true,false
131072,4,cpu,comparator,passed,341,30,24,2.941600,0.026100,2.938750,2.988600,1.0170,1.0125,true,false,1.0000,1.0000,1.0000,1.0000,1.0000,comparator,false,,,
