start_unix,end_unix,wall_median_ms,kernel_median_ms,kernel_first10_ms,kernel_last10_ms,k1_median_ms,k2_median_ms,k3_median_ms,count,condition,index,warmups,reps,gap_s,high_priority,gpu
1790397487.6747785,1790397487.8325357,0.14315,0.115087999,0.1154879995,0.10940799949999999,0.080496002,0.009904,0.008912,16384,many_reps,0,10,300,0.0,False,"{""samples"": 2, ""sm_min"": 2677.0, ""mem_min"": 14201.0, ""pstates"": [""P0""]}"
1790397487.8325357,1790397487.9441965,0.14335,0.122319997,0.1049760025,0.129472001,0.07910400249999999,0.010575999999999999,0.009472,16384,baseline,0,10,30,0.0,False,"{""samples"": 2, ""sm_min"": 2677.0, ""mem_min"": 14201.0, ""pstates"": [""P0""]}"
1790397490.9456384,1790397491.0762355,0.3632,0.31220800049999997,0.30188799899999996,0.3032639975,0.2115840015,0.0413920005,0.041104,16384,idle_gap,0,10,30,3.0,False,"{""samples"": 2, ""sm_min"": 787.0, ""mem_min"": 7001.0, ""pstates"": [""P3""]}"
1790397491.0762355,1790397491.1887124,0.1421,0.123343998,0.12323200000000001,0.10668800149999999,0.078655999,0.011568,0.00896,16384,high_priority,0,10,30,0.0,True,"{""samples"": 2, ""sm_min"": 675.0, ""mem_min"": 7001.0, ""pstates"": [""P0"", ""P3""]}"
1790397491.1887124,1790397492.405465,0.15735,0.12235199800000002,0.12235199800000002,0.1027680025,0.096272003,0.008944,0.00536,16384,long_warmup,0,6716,30,0.0,False,"{""samples"": 19, ""sm_min"": 675.0, ""mem_min"": 14001.0, ""pstates"": [""P0"", ""P1""]}"
1790397492.405465,1790397492.5176053,0.1439,0.127487999,0.12892799900000002,0.1234079995,0.0819840025,0.011216,0.009536,16384,high_priority,1,10,30,0.0,True,"{""samples"": 2, ""sm_min"": 2970.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397492.5176053,1790397492.6700988,0.14235,0.11739199850000001,0.10952,0.121311998,0.080688,0.009871999999999999,0.008976,16384,many_reps,1,10,300,0.0,False,"{""samples"": 3, ""sm_min"": 2842.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397492.6700988,1790397492.7858386,0.14225,0.116351998,0.11112000149999998,0.1223200035,0.079776,0.010224,0.009024,16384,baseline,1,10,30,0.0,False,"{""samples"": 1, ""sm_min"": 2842.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397495.786293,1790397495.9235036,0.36995,0.29456000400000004,0.2960639985,0.306432002,0.210960001,0.041792001499999995,0.0403999985,16384,idle_gap,1,10,30,3.0,False,"{""samples"": 3, ""sm_min"": 900.0, ""mem_min"": 7001.0, ""pstates"": [""P3""]}"
1790397495.9235036,1790397497.169361,0.1402,0.1080799995,0.112703996,0.107103998,0.0811360035,0.008064,0.008784,16384,long_warmup,1,6716,30,0.0,False,"{""samples"": 19, ""sm_min"": 900.0, ""mem_min"": 7001.0, ""pstates"": [""P1"", ""P3""]}"
1790397497.169361,1790397497.2902968,0.12915,0.1111359985,0.1179359985,0.103296,0.079071999,0.009904,0.00848,16384,baseline,2,10,30,0.0,False,"{""samples"": 2, ""sm_min"": 2970.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397497.2902968,1790397497.415266,0.36419999999999997,0.289792005,0.3268319945,0.3022720015,0.20790399650000002,0.041776,0.041680001,16384,high_priority,2,10,30,0.0,True,"{""samples"": 2, ""sm_min"": 2970.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397497.415266,1790397497.5660653,0.13785,0.1151199985,0.114512002,0.1136320005,0.080464002,0.009904,0.008879999999999999,16384,many_reps,2,10,300,0.0,False,"{""samples"": 3, ""sm_min"": 2970.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397497.5660653,1790397498.987929,0.17485,0.1397119995,0.15737599349999998,0.133632003,0.1091360005,0.013344,0.012048,16384,long_warmup,2,6716,30,0.0,False,"{""samples"": 22, ""sm_min"": 2617.0, ""mem_min"": 14001.0, ""pstates"": [""P0"", ""P1""]}"
1790397501.9889088,1790397502.1143944,0.1407,0.1098400005,0.110736,0.1193919995,0.09572799900000001,0.0074399999999999996,0.006672,16384,idle_gap,2,10,30,3.0,False,"{""samples"": 2, ""sm_min"": 825.0, ""mem_min"": 7001.0, ""pstates"": [""P3""]}"
