start_unix,end_unix,wall_median_ms,kernel_median_ms,kernel_first10_ms,kernel_last10_ms,k1_median_ms,k2_median_ms,k3_median_ms,count,condition,index,warmups,reps,gap_s,high_priority,gpu
1790397861.027276,1790397862.5412662,0.14625,0.12262400100000001,0.1084159995,0.1312,0.081712,0.010128,0.008672,16384,long_warmup,0,8816,30,0.0,False,"{""samples"": 27, ""sm_min"": 2617.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397862.5412662,1790397862.6550262,0.14835,0.118048,0.109344001,0.1281599965,0.081456002,0.010128,0.009808,16384,baseline,0,10,30,0.0,False,"{""samples"": 2, ""sm_min"": 2955.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397862.6550262,1790397864.406841,0.13195,0.10635200049999999,0.110319999,0.10272000249999999,0.076655999,0.010144,0.008719999999999999,16384,long_warmup,1,8816,30,0.0,False,"{""samples"": 30, ""sm_min"": 2932.0, ""mem_min"": 14001.0, ""pstates"": [""P0"", ""P1""]}"
1790397864.406841,1790397864.5267422,0.13455,0.106272002,0.103824001,0.10726400250000001,0.0762559995,0.011104,0.008752,16384,baseline,1,10,30,0.0,False,"{""samples"": 3, ""sm_min"": 2955.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397864.5267422,1790397864.643392,0.1387,0.11684799700000001,0.11504000050000002,0.110688,0.0806879995,0.011312,0.00896,16384,baseline,2,10,30,0.0,False,"{""samples"": 2, ""sm_min"": 2955.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397864.643392,1790397866.1183567,0.12329999999999999,0.09879999950000001,0.109648001,0.0926240005,0.076288,0.010128,0.00856,16384,long_warmup,2,8816,30,0.0,False,"{""samples"": 27, ""sm_min"": 2835.0, ""mem_min"": 14001.0, ""pstates"": [""P0"", ""P1""]}"
1790397866.1183567,1790397867.597025,0.13565,0.108063999,0.089983999,0.12438399950000001,0.077040002,0.0108,0.008544,16384,long_warmup,3,8816,30,0.0,False,"{""samples"": 25, ""sm_min"": 2955.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397867.597025,1790397867.718503,0.12605,0.0977280025,0.08454400100000001,0.093216,0.075008001,0.010928,0.008656,16384,baseline,3,10,30,0.0,False,"{""samples"": 2, ""sm_min"": 2955.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397867.718503,1790397869.3148985,0.3669,0.31472000199999994,0.3206080025,0.3190720025,0.2223840055,0.040464001,0.0407200005,16384,long_warmup,4,8816,30,0.0,False,"{""samples"": 28, ""sm_min"": 2827.0, ""mem_min"": 14001.0, ""pstates"": [""P0"", ""P1""]}"
1790397869.3148985,1790397869.4316792,0.14105,0.09825600000000001,0.09734400300000001,0.0980800035,0.077872001,0.01056,0.008752,16384,baseline,4,10,30,0.0,False,"{""samples"": 3, ""sm_min"": 2955.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397869.4316792,1790397869.565046,0.33855,0.2850720065,0.28619200749999996,0.289999996,0.2054399995,0.0404160005,0.0402560015,16384,baseline,5,10,30,0.0,False,"{""samples"": 2, ""sm_min"": 2955.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397869.565046,1790397871.038387,0.1392,0.1097759985,0.111152,0.10982399749999999,0.0801919995,0.010447999999999999,0.008464,16384,long_warmup,5,8816,30,0.0,False,"{""samples"": 25, ""sm_min"": 2715.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397871.038387,1790397873.1029608,0.1399,0.11644799800000001,0.1277599975,0.106720003,0.07993600149999999,0.010592,0.008912,16384,long_warmup,6,8816,30,0.0,False,"{""samples"": 36, ""sm_min"": 2955.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397873.1029608,1790397873.2280748,0.3587,0.297248002,0.29769600350000003,0.297248002,0.21243199699999998,0.042208000999999995,0.040864,16384,baseline,6,10,30,0.0,False,"{""samples"": 2, ""sm_min"": 2955.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397873.2280748,1790397874.8231184,0.18869999999999998,0.14472000450000003,0.13766400300000003,0.15476799949999998,0.105328001,0.013024,0.007936,16384,long_warmup,7,8816,30,0.0,False,"{""samples"": 28, ""sm_min"": 2797.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397874.8231184,1790397874.9539149,0.3695,0.31195200050000005,0.3160159975,0.3103520015,0.23144000050000002,0.041248001,0.041088,16384,baseline,7,10,30,0.0,False,"{""samples"": 3, ""sm_min"": 2955.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397874.9539149,1790397875.0748742,0.10985,0.091663998,0.08257599799999998,0.0971839995,0.066640001,0.011023999999999999,0.008639999999999998,16384,baseline,8,10,30,0.0,False,"{""samples"": 2, ""sm_min"": 2955.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397875.0748742,1790397876.606875,0.1264,0.1075519985,0.1023519985,0.1099999995,0.08193600200000001,0.009184,0.008672,16384,long_warmup,8,8816,30,0.0,False,"{""samples"": 26, ""sm_min"": 2752.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397876.606875,1790397878.2412016,0.1269,0.1026720005,0.113263997,0.12243200400000001,0.078400001,0.010096,0.008768000000000001,16384,long_warmup,9,8816,30,0.0,False,"{""samples"": 29, ""sm_min"": 2955.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397878.2412016,1790397878.357353,0.13925,0.113727999,0.11739199950000001,0.1256800005,0.079647999,0.0104,0.008879999999999999,16384,baseline,9,10,30,0.0,False,"{""samples"": 2, ""sm_min"": 2955.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397878.357353,1790397878.4759412,0.13845000000000002,0.10342399999999999,0.1045919985,0.09648000000000001,0.08241599799999999,0.01016,0.008944,16384,baseline,10,10,30,0.0,False,"{""samples"": 2, ""sm_min"": 2955.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397878.4759412,1790397879.9256556,0.131,0.09737600099999999,0.11592000050000001,0.093183998,0.078288,0.008896000000000001,0.00848,16384,long_warmup,10,8816,30,0.0,False,"{""samples"": 25, ""sm_min"": 2625.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397879.9256556,1790397881.3177483,0.13485,0.10057599950000001,0.1051359975,0.105104002,0.077519998,0.009791999999999999,0.00872,16384,long_warmup,11,8816,30,0.0,False,"{""samples"": 25, ""sm_min"": 2865.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397881.3177483,1790397881.443997,0.14005,0.1099199995,0.11969599950000001,0.1131359975,0.07982400049999999,0.00992,0.00696,16384,baseline,11,10,30,0.0,False,"{""samples"": 2, ""sm_min"": 2955.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397881.443997,1790397882.8981314,0.13965,0.114592001,0.11518399950000001,0.123984001,0.08216,0.008095999999999999,0.0046879999999999995,16384,long_warmup,12,8816,30,0.0,False,"{""samples"": 25, ""sm_min"": 2722.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397882.8981314,1790397883.0152848,0.13955,0.115983999,0.12950399699999998,0.11359999949999999,0.0784799975,0.010672000000000001,0.00944,16384,baseline,12,10,30,0.0,False,"{""samples"": 2, ""sm_min"": 2955.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397883.0152848,1790397884.4167273,0.13445000000000001,0.11347199799999999,0.1122239975,0.10971199749999999,0.08110399900000001,0.010336000000000001,0.008768,16384,long_warmup,13,8816,30,0.0,False,"{""samples"": 25, ""sm_min"": 2812.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397884.4167273,1790397884.537066,0.1434,0.1241280015,0.126719999,0.1194399975,0.07918399949999999,0.010992,0.009167999999999999,16384,baseline,13,10,30,0.0,False,"{""samples"": 2, ""sm_min"": 2955.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397884.537066,1790397885.9944296,0.1405,0.1155520035,0.133824,0.117328002,0.0863520015,0.009680000000000001,0.008719999999999999,16384,long_warmup,14,8816,30,0.0,False,"{""samples"": 25, ""sm_min"": 2850.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397885.9944296,1790397886.128961,0.17535,0.1365600025,0.319504002,0.10545599850000001,0.1016959995,0.011152,0.02384,16384,baseline,14,10,30,0.0,False,"{""samples"": 3, ""sm_min"": 2955.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
1790397886.128961,1790397887.519325,0.13740000000000002,0.1109119985,0.1078880015,0.112096,0.08067199950000001,0.009072,0.004928,16384,long_warmup,15,8816,30,0.0,False,"{""samples"": 25, ""sm_min"": 2947.0, ""mem_min"": 14001.0, ""pstates"": [""P0"", ""P1""]}"
1790397887.519325,1790397887.6445756,0.1527,0.12422399849999999,0.13657599799999998,0.1182559985,0.089168001,0.011023999999999999,0.009696,16384,baseline,15,10,30,0.0,False,"{""samples"": 2, ""sm_min"": 2955.0, ""mem_min"": 14001.0, ""pstates"": [""P1""]}"
